4361036|Lakeville|3141.0|4|4|3|1|0.33|479435.0
4432906|Burnsville|4425.0|4|5|3|25|0.391|479000.0
4407811|Lakeville|3955.0|4|5|3|22|0.48|478000.0
4429067|Lakeville|2926.0|4|3|3|0|0.31|477338.0
4428792|Lakeville|4050.0|4|3|4|39|22.02|475000.0
4410322|Lakeville|2696.0|4|3|3|0|0.278|474900.0
4391840|Lakeville|4429.0|5|5|3|15|0.52|474900.0
4406211|Apple Valley|2780.0|4|4|2|0|0.74|474900.0
4365941|Eagan|4264.0|5|4|3|23|0.41|474900.0
4435027|Lakeville|2584.0|4|3|3|0|0.293|474900.0
4413626|Lakeville|4062.0|5|5|3|23|0.48|470000.0
4428855|Burnsville|4037.0|5|5|3|19|0.443|469900.0
4435159|Lakeville|3100.0|4|3|3|-1|0.3|469900.0
4416878|Lakeville|3159.0|4|3|3|-1|0.01|469420.0
4400427|Burnsville|4360.0|5|4|4|19|0.39|464900.0
4425371|Apple Valley|2898.0|3|4|3|0|0.3|462900.0
4434452|Farmington|3630.0|5|4|3|0|0.24|455000.0
4435809|Apple Valley|2753.0|4|3|3|29|0.534|450000.0
4428892|Apple Valley|2854.0|4|3|3|0|0.18|450000.0
4422461|Lakeville|3734.0|5|4|3|21|2.61|450000.0
4434272|Eagan|4077.0|5|4|3|19|0.38|450000.0
4399341|Lakeville|4756.0|5|4|3|11|0.38|449900.0
4409085|Burnsville|3594.0|3|4|4|22|0.5|449900.0
4400249|Eagan|2800.0|4|3|3|1|1.37|449900.0
4431238|Lakeville|3874.0|3|4|3|19|0.51|449900.0
4407986|Lakeville|5124.0|5|4|3|3|0.283|449900.0
4436350|Lakeville|3012.0|4|3|3|0|0.23|447530.0
4380602|Lakeville|3159.0|4|3|3|0|0.267|447260.0
4432311|Lakeville|2870.0|4|3|3|-1|0.29|445190.0
4416782|Lakeville|2752.0|2|3|2|0|0.1|445000.0
4435025|Apple Valley|4500.0|4|4|3|12|0.74|439900.0
4433617|Rosemount|2896.0|4|3|3|6|0.28|439900.0
4344177|Eagan|4005.0|5|4|3|21|1.54|439900.0
4405465|Lakeville|3154.0|4|3|3|0|0.31|439860.0
4422992|Eagan|3884.0|5|4|3|14|0.251|438888.0
4437118|Apple Valley|3650.0|6|4|3|18|0.33|437900.0
4436370|Lakeville|2658.0|4|3|3|-1|0.26|433690.0
4368324|Lakeville|2824.0|3|3|2|0|0.16|433000.0
4425333|Lakeville|3032.0|4|3|3|-1|0.256|432000.0
4386117|Lakeville|3400.0|5|4|3|0|0.26|429900.0
4436245|Apple Valley|3048.0|4|3|2|-1|0.15|429900.0
4433279|Lakeville|4400.0|6|4|3|11|0.43|429900.0
4418960|Lakeville|3215.0|4|4|3|0|0.32|429900.0
4432899|Lakeville|2909.0|3|3|3|0|0.193|429900.0
4378276|Apple Valley|4914.0|6|4|3|15|0.44|429000.0
4432900|Lakeville|2962.0|4|4|3|0|0.01|425285.0
4338780|Lakeville|3961.0|6|4|3|0|0.35|425200.0
4414420|Lakeville|4220.0|5|4|3|18|0.462|425000.0
4435405|Apple Valley|3407.0|4|4|3|25|0.246|424900.0
4429123|Eagan|3627.0|4|4|3|15|0.257|424900.0
4425220|Lakeville|4954.0|5|5|3|8|0.284|424900.0
4436081|Eagan|2675.0|3|3|2|0|0.01|424800.0
4431910|Lakeville|3651.0|4|4|3|0|0.4|424310.0
4434535|Eagan|2988.0|6|4|3|11|0.7|424000.0
4428255|Lakeville|4003.0|4|4|3|21|0.314|419900.0
4409732|Apple Valley|3363.0|4|4|2|6|0.221|419900.0
4385785|Apple Valley|2911.0|3|3|2|12|0.12|419900.0
4419215|Lakeville|2944.0|4|4|3|0|0.372|419695.0
4407164|Rosemount|3400.0|5|4|3|0|0.54|415900.0
4398457|Eagan|3232.0|4|4|3|3|0.32|415000.0
4429644|Apple Valley|4395.0|5|4|4|14|0.301|414900.0
4421479|Lakeville|3215.0|4|4|3|-1|0.43|413350.0
4426883|Rosemount|3400.0|5|4|3|0|0.27|409955.0
4426140|Lakeville|2943.0|4|4|3|0|0.3|409900.0
4423374|Rosemount|4235.0|5|4|3|23|0.45|409900.0
4426877|Lakeville|3012.0|4|4|3|0|0.18|409900.0
4436693|Lakeville|2487.0|4|3|3|-1|0.37|409125.0
4434002|Lakeville|2487.0|4|3|3|0|0.28|405585.0
4422477|Lakeville|3645.0|6|4|3|0|0.26|400250.0
4320827|Eagan|2051.0|4|3|2|59|2.09|400000.0
4431882|Apple Valley|2459.0|4|3|4|0|0.2|400000.0
4432934|Eagan|2756.0|3|3|2|0|0.17|399990.0
4411818|Apple Valley|3710.0|5|4|2|24|0.595|399900.0
4426735|Lakeville|2362.0|4|2|2|66|0.61|399900.0
4433605|Eagan|3515.0|3|4|2|22|0.43|399900.0
4355468|Rosemount|4100.0|5|4|3|7|0.37|399900.0
4436504|Lakeville|4512.0|4|4|3|34|0.4|399900.0
4418402|Lakeville|2943.0|4|4|3|0|0.3|399900.0
4407980|Lakeville|2779.0|4|3|3|0|0.263|399900.0
4387423|Apple Valley|3016.0|4|4|3|29|0.43|399900.0
4430779|Lakeville|2735.0|4|3|3|-1|0.27|399000.0
4401199|Eagan|2906.0|5|3|3|9|0.28|399000.0
4390889|Lakeville|2873.0|3|3|3|10|0.31|399000.0
4428999|Apple Valley|3800.0|4|4|2|32|0.403|397000.0
4435604|Apple Valley|2908.0|4|3|3|-1|0.01|395900.0
4430713|Rosemount|3200.0|4|3|3|9|0.24|394900.0
4435621|Rosemount|3154.0|5|4|3|0|0.26|394500.0
4392489|Lakeville|3808.0|4|4|3|10|0.74|393000.0
4435596|Lakeville|2752.0|3|3|2|0|0.1|392290.0
4425288|Lakeville|2612.0|4|3|3|-1|0.318|390050.0
4428170|Lakeville|2773.0|4|3|3|0|0.01|389900.0
4400179|Apple Valley|3408.0|4|3|3|13|0.31|389900.0
4416582|Lakeville|3882.0|5|4|3|18|0.26|389900.0
4418355|Lakeville|2450.0|4|3|3|0|0.27|389900.0
4426727|Lakeville|2945.0|3|3|2|11|0.265|389000.0
